gene	srci	threshold_stability	n_enhancers	n_core_strict	n_regional_strict	n_regional_domains_strict	regional_evidence_strict	domain_diversity_strict	n_q01_enhancers	min_enhancer_q	rna_mean	rna_detected_fraction	srci_rank	confirmed_mixed	threshold_stable_mixed	above_elbow
HSPA6	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0007784416	0.0011724856696195935	5776	False	False	False
HSPA9	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.08054998	0.14382490880667015	5777	False	False	False
HSPB1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.23063742	0.3822303282959875	5778	False	False	False
HSPB2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.014972721	0.032438770192808754	5779	False	False	False
HSPB6	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0035419837	0.00716519020323085	5780	False	False	False
HSPB7	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0025236183	0.004689942678478374	5781	False	False	False
HSPB8	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0037160283	0.008077123501823866	5782	False	False	False
HSPB9	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.000629103	0.0013027618551328818	5783	False	False	False
HSPBAP1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0038203434	0.008989056800416884	5784	False	False	False
HSPBP1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.05442176	0.11151641479937467	5785	False	False	False
HSPD1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.134663	0.2476550286607608	5786	False	False	False
HSPE1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.34311756	0.4919228764981761	5787	False	False	False
HSPG2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0152531555	0.03400208441896821	5788	False	False	False
HSPH1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.07499584	0.14512767066180302	5789	False	False	False
HTATSF1	0.0	0	11	0	0	0	0.0	0.0	0	1.0	0.09991413	0.18746743095362167	5790	False	False	False
HTD2	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0001328817	0.0002605523710265763	5791	False	False	False
HTR1A	0.0	0	15	0	0	0	0.0	0.0	0	1.0	0.0064307465	0.016284523189161022	5792	False	False	False
HTR1B	0.0	0	13	0	0	0	0.0	0.0	0	1.0	0.000509249	0.0014330380406461698	5793	False	False	False
HTR1E	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0026999437	0.005080771235018239	5794	False	False	False
HTR1F	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.00016644817	0.0005211047420531526	5795	False	False	False
HTR2A	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.014125784	0.029442417926003127	5796	False	False	False
HTR2B	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0	0.0	5797	False	False	False
HTR2C	0.0	0	8	0	0	0	0.0	0.0	0	1.0	0.008978893	0.013939551849921834	5798	False	False	False
HTR3A	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.00039540755	0.0010422094841063053	5799	False	False	False
HTR3B	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0005032023	0.0010422094841063053	5800	False	False	False
HTR3C	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.00092632044	0.0011724856696195935	5801	False	False	False
HTR3E	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.00019178272	0.0009119332985930171	5802	False	False	False
HTR4	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0014810228	0.002996352266805628	5803	False	False	False
HTR5A	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.002867467	0.004689942678478374	5804	False	False	False
HTR7	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.0025021485	0.00638353309015112	5805	False	False	False
HTRA1	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.023547899	0.046117769671704015	5806	False	False	False
HTRA3	0.0	0	20	0	0	0	0.0	0.0	0	1.0	0.002568961	0.005862428348097967	5807	False	False	False
