gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	mean_core_concordance	complexity_rank
LAYN	20	0	3	17	1	0.022485388586308417	0.0	0.031171367404788906		101
SYT4	20	0	3	17	1	0.022450688733175433	0.0	0.03112326319405896		102
PTX3	20	0	1	19	1	0.044081854922299116	0.0	0.03055521345324418		103
HMMR	20	0	2	18	1	0.027272291054642465	0.0	0.029961674092763575		104
RIPOR3	20	0	2	18	1	0.02677559675334985	0.0	0.02941599962965209		105
APLN	20	0	2	18	1	0.02676122008602622	0.0	0.029400205246260254		106
CCDC83	20	0	1	19	1	0.0423419066873168	0.0	0.02934917323984593		107
S100A10	20	0	3	17	1	0.02115853013202409	0.0	0.02933195101161029		108
TNC	20	0	3	17	1	0.020750037471903866	0.0	0.02876565994032676		109
IGF1	20	0	3	17	1	0.020722884073377548	0.0	0.028728017337064482		110
C2CD4A	20	0	2	18	1	0.02603737714058698	0.0	0.028604982491334988		111
SAXO1	20	0	2	18	1	0.0258664485818351	0.0	0.028417198276205844		112
AK1	20	0	3	17	1	0.020380674573031013	0.0	0.028253614236412428		113
AQP5	20	0	3	17	1	0.02034424769100622	0.0	0.028203115855268277		114
FOXF2	20	0	3	17	1	0.020169157103921864	0.0	0.027960388761708064		115
TGFB1I1	20	0	1	19	1	0.0399246950747466	0.0	0.02767368982577614		116
ARAP3	20	0	2	18	1	0.024909705905948532	0.0	0.02736610901538365		117
TRMT13	15	0	3	12	1	0.0196155066487117	0.0	0.027192866257618752		118
ATXN1	20	0	3	17	1	0.019170243057109744	0.0	0.02657559985136897		119
VWF	20	0	2	18	1	0.024133676889522723	0.0	0.026513554001575228		120
KANK1	20	0	3	17	1	0.019028735609332555	0.0	0.026379428874458984		121
LMBRD2	17	0	2	15	1	0.02399501780199406	0.0	0.02636122142408073		122
MOCOS	20	0	2	18	1	0.023475998290068294	0.0	0.02579102021022056		123
ANKRD34C	20	0	2	18	1	0.022752883346781598	0.0	0.024996597247406254		124
NLRP1	20	0	2	18	1	0.022620008401431635	0.0	0.02485061919958868		125
MLKL	20	0	2	18	1	0.02198020788744714	0.0	0.024147726492629144		126
MLLT1	20	0	3	17	1	0.017363979494323483	0.0	0.024071586859582054		127
JAG2	20	0	2	18	1	0.021814377510820944	0.0	0.02396554320303314		128
NR1H4	20	0	1	19	1	0.03398755854091358	0.0	0.023558380376750336		129
COL4A3	20	0	2	18	1	0.021281920419940904	0.0	0.023380579299803857		130
CD99	17	0	2	15	1	0.021176200810849144	0.0	0.02326443443810246		131
MAG	20	0	2	18	1	0.020829420966028207	0.0	0.02288345783911976		132
NEK8	20	0	2	18	1	0.020804557171868	0.0	0.022856142169312442		133
ITGA4	20	0	2	18	1	0.020663282412486616	0.0	0.02270093598257742		134
ACVR2A	17	0	2	15	1	0.020580302808272274	0.0	0.02260977356967873		135
BARHL2	20	0	2	18	1	0.020559177759832244	0.0	0.022586565331863803		136
UST	20	0	3	17	1	0.01620912637733592	0.0	0.022470620495580466		137
PRDM5	20	0	2	18	1	0.020161751149495893	0.0	0.022149947573904576		138
TSPAN33	20	0	2	18	1	0.02010764798861193	0.0	0.02209050917650167		139
ERG	20	0	2	18	1	0.020073126860020316	0.0	0.022052583840412227		140
RAB25	20	0	2	18	1	0.019815365899502595	0.0	0.021769404481648564		141
ZNF280D	20	0	1	19	1	0.031029347403448156	0.0	0.02150790466731515		142
WWC3	20	0	2	18	1	0.01954095891293492	0.0	0.02146793759410893		143
TTYH1	20	0	2	18	1	0.01944753875632531	0.0	0.021365305062048316		144
ACSS3	20	0	2	18	1	0.019186348943435603	0.0	0.021078358723932756		145
CHRNB4	20	0	2	18	1	0.019117893433442244	0.0	0.02100315265942701		146
TBXAS1	20	0	2	18	1	0.019095005537242506	0.0	0.02097800773540022		147
PPIH	20	0	2	18	1	0.018813829489425254	0.0	0.020669104273989054		148
ARHGAP36	20	0	2	18	1	0.018693361786864104	0.0	0.02053675697556776		149
CD4	20	0	1	19	1	0.029224545908417124	0.0	0.020256911599564015		150
PLXND1	20	0	2	18	1	0.018404097775132956	0.0	0.020218967977610483		151
AQP4	20	0	2	18	1	0.018378905612367165	0.0	0.020191291558017858		152
BCL2L12	20	0	1	19	1	0.028638506029585422	0.0	0.019850699709856128		153
ZFP92	20	0	2	18	1	0.017617307550796837	0.0	0.019354590568550885		154
THRB	20	0	2	18	1	0.017558701684532482	0.0	0.019290205443684826		155
SHROOM3	20	0	2	18	1	0.017546992058995837	0.0	0.019277341105174563		156
MSANTD3	20	0	2	18	1	0.017469673390795346	0.0	0.019192397866146054		157
