gene	srci	threshold_stability	n_enhancers	n_core_strict	n_regional_strict	n_regional_domains_strict	regional_evidence_strict	domain_diversity_strict	n_q01_enhancers	min_enhancer_q	rna_mean	rna_detected_fraction	srci_rank	confirmed_mixed	threshold_stable_mixed	above_elbow
foxc1a	0.3128679809910047	4	20	5	4	4	0.0548275056069742	1.0	12	0.02	8.448755045179666	0.6197552836484983	18	True	True	True
pitx2	0.30137590206290227	4	20	3	7	1	0.10785144284995951	0.0	10	0.0142857142857142	0.9531894793419136	0.4585984427141268	19	True	True	True
gli2a	0.25447580386947954	4	20	3	6	4	0.0640017417494016	0.8649735207179272	12	0.02	7.160039587172108	0.917686318131257	20	True	True	True
bhlha15	0.24891010616875808	4	20	4	5	2	0.0861831173469886	0.7219280948873623	9	0.02	0.5223262240903201	0.32048943270300334	21	True	True	False
meis1b	0.2408400278866964	4	20	1	3	2	0.09128097289408439	0.9182958340544894	4	0.075	17.273227852329086	0.9492769744160178	22	True	True	False
tram1	0.22828478452434534	4	20	1	4	3	0.0921036686032097	0.946394630357186	5	0.05	6.722259447417378	0.9385094549499444	23	True	True	False
tcf7l1a	0.2259259388326076	2	20	0	10	3	0.16520745654696087	0.7219280948873623	14	0.025	8.028400972217598	0.9422469410456062	24	False	True	False
zic2a	0.2235131373403328	3	20	6	6	3	0.0527559177557513	0.9602297178607612	20	0.0111111111111111	4.956057476017141	0.6051167964404894	25	True	True	False
sox10	0.2161132831561829	4	20	3	7	2	0.08359181745867889	0.7219280948873623	11	0.01	1.0078918218575694	0.4357285873192436	26	True	True	False
tfap2a	0.21392925689652942	3	20	6	5	2	0.077938547574662	0.7219280948873623	19	0.009090909090909	6.930824739547949	0.6506340378197998	27	True	True	False
lmo4a	0.21004426513807883	2	20	0	6	2	0.18178934485162507	0.0	9	0.02	3.7007588263984466	0.7868298109010011	28	False	True	False
tuba8l2	0.1989574165106286	4	20	4	3	2	0.038730904358524595	0.9182958340544894	7	0.02	15.276080947240084	0.8447608453837597	29	True	True	False
cnn3a	0.1887025339273039	4	20	1	4	3	0.0733527042097448	0.946394630357186	12	0.02	2.5963947915262082	0.7853170189098999	30	True	True	False
irx1b	0.1869718200965156	3	20	2	5	2	0.0630807182244609	0.7219280948873623	7	0.0166666666666666	6.733966802957287	0.5772191323692992	31	True	True	False
foxg1a	0.18655929946663863	4	20	2	6	1	0.19806945113098628	0.0	8	0.02	1.1813325755110766	0.2925027808676307	32	True	True	False
fn1a	0.17604854004564274	4	20	1	4	3	0.0654321870381797	0.946394630357186	9	0.0333333333333333	36.14619468310427	0.9343715239154616	33	True	True	False
fezf2	0.17110708263628674	4	20	7	3	2	0.0370270828908382	0.9182958340544894	18	0.0142857142857142	1.3257081790809584	0.30407119021134593	34	True	True	False
unc5b	0.17005507719607374	4	20	1	4	1	0.1151848044376249	0.0	8	0.0166666666666666	8.986640606559863	0.8801779755283649	35	True	True	False
emx2	0.1615952409002805	4	20	2	6	1	0.1464044947459476	0.0	12	0.0142857142857142	0.7496180167630302	0.41481646273637374	36	True	True	False
shha	0.15701983792974133	4	20	1	4	2	0.0643202642508039	0.8112781244591328	9	0.0333333333333333	1.6729077001271546	0.4812013348164627	37	True	True	False
prdm1a	0.15631359860435598	3	20	0	5	2	0.22825052527360107	0.9709505944546688	5	0.0333333333333333	6.6730355792378075	0.6950389321468298	38	False	True	False
klf2b	0.15069003598592076	3	20	2	5	2	0.042311780752578194	0.9709505944546688	17	0.0083333333333333	1.1811723732474753	0.4267408231368187	39	True	True	False
nog1	0.15017508390246595	2	20	0	6	2	0.1177386142008472	0.7219280948873623	9	0.02	1.9857545943042538	0.6152169076751947	40	False	True	False
grhl2b	0.14834027777674974	4	20	1	6	3	0.0420583184715717	0.7219280948873623	11	0.0142857142857142	3.6921889827660244	0.7190211345939933	41	True	True	False
sp8b	0.13771226142049972	4	20	2	5	2	0.06701247541514929	0.9709505944546688	9	0.04	7.7546838732761385	0.7318353726362625	42	True	True	False
zic2b	0.1316252149173588	4	20	3	4	3	0.0403265276937032	0.946394630357186	9	0.0285714285714285	16.434188591682748	0.899888765294772	43	True	True	False
nrarpa	0.13148200535198143	4	20	4	3	2	0.0369508673405296	0.9182958340544894	9	0.025	12.889659225781493	0.9516796440489432	44	True	True	False
fzd8a	0.13052247168556635	3	20	2	4	1	0.0847307250162127	0.0	7	0.0333333333333333	5.143445098970758	0.8030700778642936	45	True	True	False
pax2a	0.1210328977537814	2	20	0	5	3	0.0583096934963731	0.8649735207179272	10	0.02	1.03079556349732	0.32449388209121244	46	False	True	False
