gene	n_candidate_peaks_tested	n_significant_positive_links	latent_mask_fraction	mask_low_center	mask_high_center	control_p99	n_enhancers_retained	rank_eligible	note	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	absolute_divergence_score	absolute_rank
tbx16	53	45	0.10375973303670745	0.013025528592923555	0.4379198306436015	178.11099462354204	45	True		1.0943567220236239	1.0920970687844718	1.9145564805271793	2.0585498603534487	0.45757218227109253	1.4224366254250462	57.0
cdh2	21	12	0.3363737486095662	0.03864834374856868	0.1776887091846915	16.289632473119852	12	True		1.1635646615733695	1.2387694477419098	1.791009428168298	1.8194576916032985	0.36797803237180915	1.414542568211341	58.0
efemp2b	48	30	0.15510567296996663	0.034803933506892745	0.4984702240007621	145.67260282345308	30	True		1.0343141999508374	1.140962695148037	1.9734323491693218	2.0641794409885876	0.42555073470274773	1.409961459638231	59.0
igf2bp1	84	34	0.34100111234705227	0.20125096909184123	0.32112181597771905	91.96665683226155	34	True		1.0194222442014602	1.0969322167376392	1.9953839256377208	2.2120774580560467	0.508861250191268	1.4098069167759646	60.0
rrbp1b	24	14	0.02513904338153504	0.025650096479716045	0.34656494234433344	172.44823796259257	14	True		1.1090745637049946	1.1110129676017022	1.8543517673248313	2.175533056992848	0.5241146015512628	1.4071854451529293	61.0
hic1l	26	18	0.05112347052280312	0.033567257139188636	0.1465064826510286	7.747114000302092	18	True		1.3306379412001328	1.2438182429077884	1.516496804711336	1.5835234948079657	0.2239908733937093	1.4049814866046142	62.0
tbxtb	72	57	0.027230255839822023	0.014112012595368654	0.34658487492934725	55.06514037916999	57	True		1.0949704984952586	1.1064950620687226	1.868204806954821	2.0001077496687465	0.38822157315528627	1.4042642218790835	63.0
higd1a	45	26	0.0006674082313681868	0.0047845104030962956	0.1048272148680791	6.337817095242572	26	True		1.2515950689948854	1.2515987956663848	1.6118385931929187	1.643488549298093	0.22375089733195513	1.3956924786740987	64.0
lamc1	89	38	0.3723248053392659	0.16485181359400677	0.3808538474795827	105.34829486858033	38	True		1.099489990417067	1.1119140645475145	1.8174232528333876	1.86434236871614	0.4021039464527345	1.3866632953835953	65.0
fzd7a	73	50	0.4088987764182425	0.11436846511608137	0.2923883651335553	88.56207306838161	50	True		1.0088505186400951	0.9753195677282618	1.9530295439078678	1.9990885374186962	0.46608494456871696	1.3865221287472043	66.0
