gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
TOMM5	20	0	0	20	0	0.0	0.0	0.0	10212
DCHS1	20	0	0	20	0	0.0	0.0	0.0	10213
CCDC71L	20	0	0	20	0	0.0	0.0	0.0	10214
TLR7	20	0	0	20	0	0.0	0.0	0.0	10215
CRIP1	20	0	0	20	0	0.0	0.0	0.0	10216
BRSK1	20	0	0	20	0	0.0	0.0	0.0	10217
ACTR1A	20	0	0	20	0	0.0	0.0	0.0	10218
WFIKKN1	20	0	0	20	0	0.0	0.0	0.0	10219
PLK5	20	0	0	20	0	0.0	0.0	0.0	10220
RPP14	20	0	0	20	0	0.0	0.0	0.0	10221
NDUFS2	20	0	0	20	0	0.0	0.0	0.0	10222
TMEM129	20	0	0	20	0	0.0	0.0	0.0	10223
ATMIN	20	0	0	20	0	0.0	0.0	0.0	10224
FAM90A1	20	0	0	20	0	0.0	0.0	0.0	10225
PDE6D	20	0	0	20	0	0.0	0.0	0.0	10226
SNU13	20	0	0	20	0	0.0	0.0	0.0	10227
PF4V1	16	0	0	16	0	0.0	0.0	0.0	10228
ADPRHL1	20	0	0	20	0	0.0	0.0	0.0	10229
RPS6KA4	20	0	0	20	0	0.0	0.0	0.0	10230
CENPVL3	10	0	0	10	0	0.0	0.0	0.0	10231
GJC2	20	0	0	20	0	0.0	0.0	0.0	10232
RABL3	20	0	0	20	0	0.0	0.0	0.0	10233
CNGB3	20	0	0	20	0	0.0	0.0	0.0	10234
CXCL2	19	0	0	19	0	0.0	0.0	0.0	10235
TDP2	20	0	0	20	0	0.0	0.0	0.0	10236
IL37	20	0	0	20	0	0.0	0.0	0.0	10237
RBM15	20	0	0	20	0	0.0	0.0	0.0	10238
CSNK1E	20	0	0	20	0	0.0	0.0	0.0	10239
CDK9	20	0	0	20	0	0.0	0.0	0.0	10240
ZNF165	18	0	0	18	0	0.0	0.0	0.0	10241
RNF208	20	0	0	20	0	0.0	0.0	0.0	10242
TRIM41	9	0	0	9	0	0.0	0.0	0.0	10243
PTF1A	20	0	0	20	0	0.0	0.0	0.0	10244
SQOR	20	0	0	20	0	0.0	0.0	0.0	10245
FCGR1A	20	0	0	20	0	0.0	0.0	0.0	10246
MGMT	20	0	0	20	0	0.0	0.0	0.0	10247
SLC35A5	20	0	0	20	0	0.0	0.0	0.0	10248
CCDC60	20	0	0	20	0	0.0	0.0	0.0	10249
DGUOK	18	0	0	18	0	0.0	0.0	0.0	10250
ATAD3A	20	0	0	20	0	0.0	0.0	0.0	10251
SLC16A4	20	0	0	20	0	0.0	0.0	0.0	10252
FABP1	19	0	0	19	0	0.0	0.0	0.0	10253
PSMD8	20	0	0	20	0	0.0	0.0	0.0	10254
CFAP53	20	0	0	20	0	0.0	0.0	0.0	10255
SHD	20	0	0	20	0	0.0	0.0	0.0	10256
COX5B	20	0	0	20	0	0.0	0.0	0.0	10257
BANF1	20	0	0	20	0	0.0	0.0	0.0	10258
RNH1	20	0	0	20	0	0.0	0.0	0.0	10259
PHYH	20	0	0	20	0	0.0	0.0	0.0	10260
PAFAH1B3	20	0	0	20	0	0.0	0.0	0.0	10261
RHOH	20	0	0	20	0	0.0	0.0	0.0	10262
MIA	20	0	0	20	0	0.0	0.0	0.0	10263
VAMP7	8	0	0	8	0	0.0	0.0	0.0	10264
ASGR1	20	0	0	20	0	0.0	0.0	0.0	10265
SSU72	20	0	0	20	0	0.0	0.0	0.0	10266
PRKCSH	20	0	0	20	0	0.0	0.0	0.0	10267
HOMEZ	20	0	0	20	0	0.0	0.0	0.0	10268
KDELR3	20	0	0	20	0	0.0	0.0	0.0	10269
EIF3G	20	0	0	20	0	0.0	0.0	0.0	10270
KIN	20	0	0	20	0	0.0	0.0	0.0	10271
ZNF761	20	0	0	20	0	0.0	0.0	0.0	10272
EFTUD2	20	0	0	20	0	0.0	0.0	0.0	10273
STAB2	20	0	0	20	0	0.0	0.0	0.0	10274
MRPS18B	20	0	0	20	0	0.0	0.0	0.0	10275
NIP7	20	0	0	20	0	0.0	0.0	0.0	10276
TAS2R46	8	0	0	8	0	0.0	0.0	0.0	10277
XDH	20	0	0	20	0	0.0	0.0	0.0	10278
DHRS1	20	0	0	20	0	0.0	0.0	0.0	10279
FEM1B	20	0	0	20	0	0.0	0.0	0.0	10280
SNX15	20	0	0	20	0	0.0	0.0	0.0	10281
IRF5	20	0	0	20	0	0.0	0.0	0.0	10282
FAM186B	20	0	0	20	0	0.0	0.0	0.0	10283
GATA6	20	0	0	20	0	0.0	0.0	0.0	10284
DLK1	20	0	0	20	0	0.0	0.0	0.0	10285
