gene	enhancer	enhancer_index	global_concordance	max_regional_concordance	best_domain	local_advantage	regional_specificity	regional_evidence_score	predicted_class	screen_only	initial_spearman_rho	link_pvalue
krt18a.1	23-10405490-10405990	13	0.3995727534144138	0.4426338756368994	2	0.04306112222248559	0.07183603849230857	0.001369217264742873	core_concordant	True	0.3660678538444621	0.0
krt18a.1	23-10262978-10263478	14	0.30056593113508234	0.359363749996456	2	0.05879781886137364	0.0636672206489532	0.001345275936680308	unsupported	True	0.3346904504499569	0.0
krt18a.1	23-10250735-10251235	15	0.389997291930434	0.41869104996671436	2	0.02869375803628038	0.05127510657055245	0.0006160098843960732	core_concordant	True	0.3199955194602757	0.0
krt18a.1	23-10356023-10356523	16	0.20287394661907343	0.2672864467529017	0	0.06441250013382827	0.06770231590463513	0.001165602899022883	unsupported	True	0.319912587364348	0.0
krt18a.1	23-10248620-10249120	17	0.3595974196897829	0.37663830108643087	1	0.017040881396647944	0.022188759161857363	0.00014241297283124746	core_concordant	True	0.3119831235096254	0.0
krt18a.1	23-10308331-10308831	18	0.25192374512014354	0.32538386530529484	0	0.0734601201851513	0.02503735012256525	0.0005984612164793046	unsupported	True	0.2947397226385814	0.0
krt18a.1	23-10322307-10322807	19	0.36053688138971507	0.40164066677520577	4	0.0411037853854907	0.04099691742808198	0.0006768161325066314	core_concordant	True	0.2879553688599213	0.0
krt4	6-39307736-39308236	0	0.6855769797069451	0.7295942685707313	1	0.0440172888637862	0.06276798813926454	0.002015778979788725	core_concordant	True	0.5073940376955017	0.0
krt4	6-39308770-39309270	1	0.7115612290314226	0.7835053376242602	1	0.07194410859283762	0.1306184208406298	0.007362776614829758	core_concordant	True	0.4847745403172027	0.0
krt4	6-39310597-39311097	2	0.7555553325115254	0.7978462527715907	1	0.04229092026006531	0.04663467610015515	0.0015735310240312156	core_concordant	True	0.4802663625501841	0.0
krt4	6-39334054-39334554	3	0.6824442857869041	0.7143121605499225	4	0.031867874763018444	0.024884454780745635	0.0005664600354893999	core_concordant	True	0.4740248201607981	0.0
krt4	6-39352424-39352924	4	0.6778163867461339	0.7126755220100668	3	0.03485913526393292	0.035631381507978954	0.0008851994049132021	core_concordant	True	0.4608808590103154	0.0
krt4	6-39317159-39317659	5	0.5635088326063212	0.6058789064480746	2	0.0423700738417534	0.06308025289187935	0.0016193416250797933	core_concordant	True	0.4094416193696212	0.0
krt4	6-39330697-39331197	6	0.44653932537909513	0.5055201019989145	0	0.058980776619819375	0.07193654888539835	0.0021448578549074612	core_concordant	True	0.4019221242324822	0.0
