gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	screen_rank
hdlbpa	20	1	5	14	3	0.0460713683835762	0.8649735207179272	0.1539513458640825	65
tdgf1	20	0	4	16	4	0.0474632111649498	1.0	0.1527781829894714	66
klf2b	20	2	5	13	2	0.0423117807525784	0.9709505944546688	0.1494227586062143	67
sox5	20	6	5	9	1	0.0823541419507048	0.0	0.1475588136703268	68
noto	20	0	4	16	2	0.0504509157666308	0.8112781244591328	0.1470714666185596	69
lamb1a	20	0	3	17	2	0.0547036036187322	0.9182958340544894	0.1454745347497992	70
cdh6	20	0	6	14	3	0.0399472218144057	0.8649735207179272	0.1449713002897935	71
grhl2b	20	1	6	13	3	0.0420583184715719	0.7219280948873623	0.1409255376578206	72
msx3	20	1	4	15	3	0.0436737233209215	0.946394630357186	0.1368123629163032	73
lhfpl6	20	3	5	12	2	0.0379660281025217	0.9709505944546688	0.1340758661417044	74
tbx1	20	0	3	17	2	0.049344685724507	0.9182958340544894	0.1312234427585242	75
foxa2	20	2	4	14	2	0.0392588596340063	1.0	0.1263693941877972	76
tcf7l2	20	2	5	13	2	0.0348862261392985	0.9709505944546688	0.1231996397782562	77
tuba8l2	20	4	6	10	2	0.0628265329815797	0.0	0.1222547881588143	78
rrbp1b	14	1	2	11	2	0.0538785278521253	1.0	0.1183832255873838	79
smtnl	20	0	6	14	2	0.0350732400839383	0.7219280948873623	0.1175205142728593	80
tfap2c	20	3	5	12	2	0.0358170118062772	0.7219280948873623	0.1105055449046857	81
zbtb18	20	1	6	13	1	0.0552948310677844	0.0	0.1075987729651008	82
rbmx	20	0	3	17	2	0.0388161289975904	0.9182958340544894	0.1032246128805128	83
mych	20	2	4	14	3	0.0326231322908175	0.946394630357186	0.1021952669718869	84
fzd7a	20	0	4	16	2	0.0345937122099015	0.8112781244591328	0.100845503261523	85
fezf2	20	7	3	10	2	0.0370270828908382	0.9182958340544894	0.0984669619615779	86
nrarpa	20	4	3	13	2	0.0369508673405298	0.9182958340544894	0.0982642802187241	87
foxb1b	20	0	3	17	2	0.0361287609973319	0.9182958340544894	0.0960780341603272	88
msx1b	20	2	4	14	2	0.0323460956240019	0.8112781244591328	0.0942933869587482	89
dmd	14	0	3	11	1	0.0678607996637353	0.0	0.0940750439149228	90
anp32e	20	1	3	16	1	0.0660748961820774	0.0	0.0915992559887961	91
stox1	20	0	3	17	2	0.0338151778591717	0.9182958340544894	0.0899254700079796	92
gata6	20	4	4	12	2	0.0299571002846263	0.8112781244591328	0.0873291318413164	93
klf3	20	0	3	17	2	0.0323673664585008	0.9182958340544894	0.0860752722881728	94
gata2a	20	4	2	14	2	0.035683308246005	1.0	0.0784042418787865	95
tbxta	20	4	3	13	2	0.0290999993925723	0.9182958340544894	0.0773862888880007	96
rxrgb	20	0	2	18	2	0.0339738229881627	1.0	0.0746481188556614	97
snai2	20	0	3	17	1	0.0531059304075852	0.0	0.0736204518660607	98
epha2a	20	0	3	17	2	0.0270286900668288	0.9182958340544894	0.0718780089840738	99
pax6a	20	9	3	8	2	0.0266882276651748	0.9182958340544894	0.0709726095916386	100
lmo2	20	2	3	15	2	0.0262988960208097	0.9182958340544894	0.0699372511128418	101
fscn1a	20	1	3	16	3	0.0241580694028289	0.9999999999999998	0.0669803907773695	102
bmp4	20	1	3	16	1	0.0474465834868689	0.0	0.0657749311422505	103
vrtn	20	0	2	18	2	0.0272837245503952	1.0	0.0599484701434001	104
lmnb1	16	0	3	13	1	0.0424210800189916	0.0	0.0588081040229437	105
lima1a	20	1	3	16	1	0.0418023172653666	0.0	0.0579503167067223	106
irx7	20	0	3	17	1	0.0410297944542695	0.0	0.056879372689862	107
cd63	20	1	3	16	1	0.0386661016915018	0.0	0.0536025987414173	108
otx2a	20	1	3	16	2	0.0200745950116153	0.9182958340544894	0.0533848261617148	109
efna1a	20	0	3	17	1	0.0373597608483591	0.0	0.0517916257968679	110
tbxtb	20	1	3	16	1	0.0363431400878279	0.0	0.0503822901691461	111
foxc1b	20	6	2	12	2	0.0225914122697486	1.0	0.0496384062758267	112
rreb1a	20	1	3	16	2	0.0186141939655283	0.9182958340544894	0.049501148512097	113
pbx4	20	2	2	16	2	0.0221242975413801	1.0	0.0486120503142198	114
six4b	20	5	3	12	2	0.017792937935829	0.9182958340544894	0.0473171637116867	115
tlcd5a	20	0	4	16	1	0.0270153502746237	0.0	0.0434795289496664	116
hoxb1b	20	3	3	14	2	0.0162269864536374	0.9182958340544894	0.0431527933915827	117
admp	20	0	2	18	2	0.0196039150845502	1.0	0.0430742040357861	118
foxh1	20	2	3	15	1	0.0309400761348307	0.0	0.042892053078336	119
pmp22b	20	4	3	13	1	0.0307852289317723	0.0	0.0426773892739009	120
olig4	20	0	2	18	1	0.0385979213296433	0.0	0.0424041506897911	121
tubb2b	20	0	2	18	2	0.0186840219218675	1.0	0.0410529921702161	122
notch1a	20	2	2	16	2	0.0180031750545651	1.0	0.0395570186999768	123
gbx1	20	0	3	17	1	0.0281560794823999	0.0	0.0390326142176945	124
gsc	20	0	3	17	1	0.0273425291520323	0.0	0.0379047939822186	125
atp2b1a	20	1	3	16	1	0.0273162267664867	0.0	0.0378683311334527	126
pax3a	20	2	2	16	2	0.0169503818223276	1.0	0.0372437955352513	127
ackr3b	20	0	2	18	2	0.0159563075069976	1.0	0.0350595910179097	128
foxb1a	20	4	2	14	2	0.015107575536435	1.0	0.0331947362726185	129
mycn	20	10	2	8	2	0.0137516329679581	1.0	0.0302154259357045	130
mab21l2	20	8	2	10	2	0.0137207876487754	1.0	0.0301476518423006	131
adka	20	0	2	18	2	0.0136492213416335	1.0	0.0299904045933393	132
foxd3	20	2	2	16	2	0.0134759051148928	1.0	0.0296095899202934	133
fbln2	20	3	2	15	1	0.025873441866133	0.0	0.0284248811842737	134
rps6	20	0	2	18	1	0.0253437825309178	0.0	0.0278429909297985	135
tgif1	20	0	2	18	1	0.0249264602943753	0.0	0.0273845155923984	136
efnb2a	20	0	2	18	2	0.0123478733465243	1.0	0.0271310507948181	137
sdc4	20	0	2	18	1	0.0242630785528963	0.0	0.0266557162591315	138
chst11	20	0	2	18	1	0.0242418491942235	0.0	0.0266323934248131	139
lhx5	20	4	2	14	1	0.0241830770182386	0.0	0.0265678255900443	140
alcamb	20	1	2	17	1	0.022927599906834	0.0	0.0251885430073137	141
cxcr4a	20	0	2	18	1	0.0224393976583355	0.0	0.0246521980177578	142
wnt11f2	20	0	2	18	1	0.0217011856293832	0.0	0.0238411892111081	143
zswim5	20	1	2	17	1	0.0185559917747836	0.0	0.0203858405922016	144
kirrel3l	20	0	2	18	1	0.0185129366343544	0.0	0.0203385396858358	145
tbx3b	20	0	1	19	1	0.0289946355762282	0.0	0.0200975499010257	146
myod1	20	8	2	10	1	0.0181558749995024	0.0	0.0199462673859754	147
six3b	20	1	2	17	1	0.0180691597632944	0.0	0.0198510009618626	148
uncx4.1	20	3	2	15	1	0.0179008614263498	0.0	0.0196661063407328	149
tcf3b	20	1	2	17	1	0.0173243528007281	0.0	0.0190327468801017	150
her12	20	0	2	18	1	0.0167074191759858	0.0	0.0183549760186673	151
