scenario	seed	fold	spatial_r2	elastic_r2	best_single_r2	gain	strength
partial_switching	20260824	3	0.6627504633214172	0.6627503832692884	-0.5475734349098922	8.005212881467827e-08	0.0
partial_switching	20260824	2	0.3401620799808372	0.3401619871838419	0.3872982689754498	9.279699531017371e-08	0.0
partial_switching	20260824	4	0.6980200896688904	0.6980200684388019	-0.4140469108710758	2.12300884649963e-08	0.0
partial_switching	20260834	0	0.7766165213293181	0.7766167136091302	-0.3678313478293971	-1.9227981207237121e-07	0.0
partial_switching	20260834	1	0.6341732920580312	0.6257842904768928	-0.886172785356754	0.008389001581138422	1.0
partial_switching	20260834	2	0.3332233990037958	0.333223797507958	0.3228050717822125	-3.9850416222453333e-07	0.0
partial_switching	20260834	3	0.6612482042075003	0.6539094711105472	-0.7962758928269107	0.007338733096953098	1.0
partial_switching	20260834	4	0.8682968870092074	0.8682968495991308	0.0506114120364428	3.741007659208151e-08	0.0
unrelated_missing_factor	20260814	0	-0.6633091683382748	-0.6633092614818186	-0.6818007849343988	9.314354376677159e-08	0.0
unrelated_missing_factor	20260814	1	-1.2998765474585174	-1.2998766692928991	-1.362543052356727	1.2183438169444116e-07	0.0
unrelated_missing_factor	20260814	2	0.0249389044487571	0.0249389289490614	0.0027130786211659	-2.450030430270478e-08	0.0
unrelated_missing_factor	20260814	3	-43.113821048967246	-43.113821123786245	-44.349440106722696	7.481899899630662e-08	0.0
unrelated_missing_factor	20260814	4	-465.53808267867976	-465.5381745612461	-529.795651278192	9.188256632342018e-05	0.0
unrelated_missing_factor	20260824	0	-1.468025344026484	-1.4680255394771755	-1.7201926052681251	1.954506914092491e-07	0.0
unrelated_missing_factor	20260824	1	-0.7884142091154722	-0.788414219566065	-0.6885783133078585	1.0450592835553607e-08	0.0
unrelated_missing_factor	20260824	2	-0.1156203967058409	-0.1156202928460783	-0.2825702221579309	-1.0385976259574825e-07	0.0
unrelated_missing_factor	20260824	3	-30.644535167544493	-30.64451829739028	-25.103766125213262	-1.687015421225624e-05	0.0
unrelated_missing_factor	20260824	4	-31.533419209614124	-31.53342887394753	-21.40748354859593	9.664333404657555e-06	0.0
unrelated_missing_factor	20260834	0	-1.2355662773601184	-1.2355660457124211	-1.2639042321319829	-2.3164769724637324e-07	0.0
unrelated_missing_factor	20260834	1	-1.1509268153104624	-1.1509270503850098	-1.1490780883075704	2.3507454738336264e-07	0.0
unrelated_missing_factor	20260834	2	0.0518728444308786	0.0518728386519883	0.101558866298954	5.778890296848083e-09	0.0
unrelated_missing_factor	20260834	3	-25.741784986314364	-25.741786479257254	-26.303400503642337	1.4929428893140084e-06	0.0
unrelated_missing_factor	20260834	4	-189.80858526725208	-189.80860103249623	-185.0692060455523	1.5765244143040036e-05	0.0
