gene	enhancer	enhancer_index	global_concordance	max_regional_concordance	best_domain	local_advantage	regional_specificity	regional_evidence_score	predicted_class	screen_only	permutation_pvalue	permutation_qvalue	initial_spearman_rho	link_pvalue
clic4	17-25455495-25455995	3	0.2963142757094197	0.4013231282562632	2	0.1050088525468435	0.3357953510061572	0.014151249266387816	regional_candidate	True	0.005	0.014285714285714287	0.2885976283839482	0.0
clic4	17-25463321-25463821	4	0.2889557374200531	0.42040761627786866	2	0.13145187885781556	0.36640689278582733	0.020248880069784335	regional_candidate	True	0.005	0.014285714285714287	0.2792432555947657	0.0
clic4	17-25462159-25462659	5	0.12286790098183084	0.17496294951090188	2	0.05209504852907104	0.12418122782522678	0.0011318750527143232	unsupported	True	0.16	0.31666666666666665	0.2359365839447418	3.553718473960196e-282
clic4	17-25406268-25406768	6	0.08692348707380784	0.143413382187539	2	0.05648989511373115	0.07557972400382997	0.0006123020988809366	unsupported	True	0.19	0.31666666666666665	0.216676872969314	2.6796183859272527e-237
clic4	17-25448478-25448978	7	0.12583032332259556	0.3713937818720736	0	0.24556345854947806	0.21800720044448849	0.019882418346017266	regional_candidate	True	0.005	0.014285714285714287	0.2007646468268898	2.2628299201256292e-203
clic4	17-25465451-25465951	8	0.231584542907269	0.6190024491683194	0	0.3874179062610504	0.2341658395420354	0.05615592649877948	regional_candidate	True	0.005	0.014285714285714287	0.1889848924011087	4.685588268347845e-180
clic4	17-25358190-25358690	9	0.048970181649065116	0.06977850196681734	5	0.020808320317752226	0.013980195979287936	2.0298872971370773e-05	unsupported	True	0.565	0.5947368421052631	0.1813700616461846	8.707030429192188e-166
clic4	17-25472419-25472919	10	0.14863851882180482	0.20128174297093818	2	0.05264322414913336	0.17526742481560126	0.001857154650074434	unsupported	True	0.135	0.30000000000000004	0.1797477863393167	7.923927817375955e-163
clic4	17-25451637-25452137	11	0.09442124080583099	0.12054025347139453	1	0.026119012665563546	0.036762056213575894	0.00011574137865329367	unsupported	True	0.33	0.4235294117647058	0.1796826678248944	1.0402256882362437e-162
clic4	17-25390645-25391145	12	0.08304207911947675	0.12132256765471304	0	0.03828048853523629	0.09911761270189853	0.00046033065601829595	unsupported	True	0.345	0.4235294117647058	0.1746900336819641	8.772115627981137e-154
