cell	x	y	z	x_standardized	y_standardized	z_standardized	domain
E1_158.0	776.6465995667139	-820.2963816070786	1.9762461995713994	0.16149643413619208	-0.5019721818153909	-1.4060141575694614	0
E1_159.0	775.9569554750608	-815.8043047844976	31.922109372806155	0.15516128536804946	-0.49218493874263325	-1.0222293112677352	0
E1_160.0	771.3444012081309	-824.576805854098	30.973568233082585	0.11278983923256974	-0.5112982806811788	-1.0343857721923628	0
E1_161.0	738.7694428704845	-804.7101166645409	4.505453314265409	-0.1864474190615779	-0.4680131535943709	-1.3735999520358688	0
E1_163.0	709.695341813049	-792.4015655160763	13.590623136073148	-0.45352540570444727	-0.4411955396662373	-1.2571648209622726	0
E1_164.0	791.7970396896869	-845.1432835110907	-6.2071658098446765	0.30067009377242565	-0.5561080922515369	-1.510892400754134	0
E1_165.0	760.0682869949803	-823.4078206567948	1.356168600613048	0.009206176396222033	-0.5087513201712986	-1.4139610444110493	0
E1_166.0	767.7311400124296	-832.9137571508302	9.146120843613629	0.07959801247733081	-0.5294626558799044	-1.3141253640373445	0
E1_167.0	742.8657076701569	-821.2372008695912	8.927927263239564	-0.14881866647207057	-0.5040220191564302	-1.3169217232280432	0
E1_168.0	738.5015451709238	-825.2003756469048	21.10521203695162	-0.18890835768470401	-0.5126569015098233	-1.1608581848950255	0
E1_169.0	771.5535537725548	-842.1030068021428	-17.118637613062468	0.11471113838803385	-0.5494840009160241	-1.650733336535422	0
E1_171.0	708.003188362605	-813.1976656754788	18.268052638688115	-0.46906971903480904	-0.4865056479445152	-1.1972190931546098	0
E1_172.0	709.3215843034202	-821.2637430496787	17.64887918144586	-0.4569587845376268	-0.5040798487035323	-1.2051543925563053	0
E1_173.0	720.2234641870831	-825.3171156634248	9.016477595459214	-0.3568128806557092	-0.5129112522173302	-1.3157868661212606	0
E1_174.0	781.8959563048198	-864.2544003118817	35.93200502916988	0.20971761992673135	-0.5977469940131803	-0.9708386674495604	0
E1_175.0	744.7575874965232	-849.3202195320616	-14.755145944750241	-0.13143964402188335	-0.5652087131338644	-1.620442932768756	0
E1_176.0	752.6558508292022	-851.067206023869	27.906315164119935	-0.058885302111194	-0.5690150107809111	-1.0736955506692933	0
E1_177.0	616.544541259514	-778.7461049871451	17.5764445305146	-1.3092192143234134	-0.41144330773750837	-1.2060827118107467	0
E1_178.0	708.6673791081057	-842.4393478715715	-10.438532441650146	-0.462968387588491	-0.5502168138067793	-1.565121406711964	0
E1_179.0	754.0870767945703	-864.3674408198676	40.445142448118574	-0.045737898223920756	-0.5979932843088326	-0.9129984996557696	0
E1_180.0	771.7911152115455	-882.08513134651	-9.145148264135852	0.11689340468422255	-0.6365962180343764	-1.5485454528012395	0
E1_181.0	782.3842873057262	-888.3225322818296	-11.162838801563726	0.21420348383288315	-0.6501861367974182	-1.5744040847034688	0
E1_182.0	766.0730785102119	-881.8631461358839	18.568067569022954	0.0643668716462677	-0.636112561298135	-1.193374115193524	0
E1_183.0	715.6780958724639	-855.0702004149605	-2.3456614550504056	-0.3985671490205541	-0.5777366512763619	-1.4614035332359405	0
E1_187.0	748.5239210455939	-884.0927417182451	-19.71857898969811	-0.09684167728426607	-0.6409703575425851	-1.684054069214033	0
E1_188.0	816.4132747105142	-942.1899730661985	32.28981203207933	0.5267976178909705	-0.7675513906625738	-1.0175168503926713	0
E1_189.0	812.2397828862061	-944.9450210384252	-4.823186601851518	0.48845944910271716	-0.7735540315893152	-1.493155384974967	0
E1_190.0	712.4620834636354	-889.1587703585876	19.34804143680147	-0.4281098034081004	-0.6520081148372381	-1.183378004904999	0
E1_191.0	757.4320905742608	-923.7208836264344	-14.893686940046711	-0.015010222626744785	-0.7273113246933517	-1.6222184679830443	0
E1_193.0	756.8997332974393	-928.4618667157563	52.99228903954988	-0.019900516891983914	-0.7376408795366204	-0.7521948287693803	0
E1_195.0	779.1937701812354	-943.913987294959	18.563794005352445	0.18489503201608454	-0.7713076368231365	-1.1934288849948471	0
E1_196.0	749.4894664710856	-926.0043964177734	8.834841673642039	-0.08797206760164357	-0.7322865946255663	-1.3181147039910264	0
E1_197.0	793.8233947520171	-957.9703361699469	27.09187747442044	0.31928442097730114	-0.8019333158995566	-1.0841333477618489	0
E1_198.0	771.3400094095912	-953.835354600956	-18.159366058817657	0.11274949567355799	-0.7929241045001321	-1.6640712658609318	0
E1_199.0	764.5026845088964	-946.2328713819363	54.63817574910516	0.04994105441192524	-0.7763599729948399	-0.7311012181359989	0
E1_200.0	759.0043330314539	-951.6295995836801	-33.30170285076369	-0.0005674252672645657	-0.7881182515804953	-1.8581347785647542	0
E1_201.0	764.8220152965157	-953.5563117819354	29.56079512075936	0.05287446320973995	-0.7923161318395281	-1.0524918093646958	0
E1_203.0	786.3138735159728	-983.9491428819099	-19.99066926550174	0.2503011080139014	-0.8585353968684393	-1.6875411660485908	0
E1_205.0	774.4912648939296	-977.5088571200879	7.6867843376937515	0.14169728561525835	-0.8445034368867852	-1.3328281555844435	0
E1_207.0	746.6985086127	-967.9944673429281	12.716586589516146	-0.11361012272672492	-0.8237736833416266	-1.2683664343451284	0
E1_209.0	753.5866732534324	-976.1555829779807	34.09702448827704	-0.05033466185255532	-0.8415549514765844	-0.994355696188363	0
