gene	n_links_raw	n_links_pass_filter	control_p99	mask_low_center	mask_high_center	note	n_enhancers_retained	median_difference_structure_score	mean_difference_structure_score	top3_mean_difference_structure_score	max_difference_structure_score	std_difference_structure_score	divergent_fraction_top10pct	gene_divergence_score	rank_eligible	global_divergent_threshold_top10pct	eligible_rank	absolute_divergence_score	absolute_rank
RGMA	51	13	1.3208380651474	0.0130702443833939	0.361324284099022		13.0	0.1693471181048904	0.1691029209273939	0.2105351819167725	0.2214330181162838	0.0282203616582723	0.0	0.1203726427211493	True	0.8145272979243852	79.0	0.18582234362964323	80.0
QKI	80	42	1.2937505102157594	0.0078164594985748	0.3006289807769907		42.0	0.1379627385477808	0.1490251877186275	0.2593402517636992	0.2857055198019757	0.0404859919832303	0.0	0.1200201583600371	True	0.8145272979243852	80.0	0.18651374383414815	79.0
SLC1A3	43	29	1.1772898936271667	0.0080922912661876	0.3202433012361038		29.0	0.1167864303280512	0.1257252721203131	0.2440942842407847	0.2956185924281411	0.0495964248478891	0.0	0.1077381431914166	True	0.8145272979243852	81.0	0.16770957189314462	81.0
PTPRZ1	41	14	1.4260694837570198	0.0087309770846307	0.3297032281207092		14.0	0.1430936587692587	0.1550849270125394	0.2017980333217638	0.2523120597141269	0.0308091844274324	0.0	0.1076869718381444	True	0.8145272979243852	82.0	0.16657540859026074	82.0
AK1	52	7	1.493527870178223	0.011025157814656	0.3317887978130516		7.0	0.1549349283714281	0.1558699247691359	0.1678286109691548	0.1695713883163439	0.0118019349399372	0.0	0.1039311240908599	True	0.8145272979243852	83.0	0.16009240141051878	83.0
HOXB8	77	7	1.2165324950218197	0.0114330533135335	0.3638280756054706		7.0	0.1427483876472126	0.155086494456314	0.1790251666219671	0.2019705494402062	0.0255862762851839	0.0	0.1018556467143768	True	0.8145272979243852	84.0	0.1572590992371144	84.0
RBFOX1	466	60	1.4291415643692005	0.0166830489717905	0.2858055493214053		60.0	0.1348199921425189	0.1370960635692956	0.1730873648351078	0.1791828114988332	0.0171329543141475	0.0	0.0971998380657845	True	0.8145272979243852	85.0	0.15012694121955447	85.0
ZIC1	52	17	1.2688530075550075	0.0077031169818555	0.3354164804420538		17.0	0.1340919902416021	0.1369575895315318	0.1711566314855191	0.1886459278534871	0.022075787292473	0.0	0.0964259539680206	True	0.8145272979243852	86.0	0.1489178467391689	86.0
GFAP	57	24	1.5540192198753358	0.0070152684823128	0.3541250462858438		24.0	0.1060094040025045	0.1166387882724673	0.1971364524439091	0.3102424925284243	0.0421446323215862	0.0	0.0916878747119791	True	0.8145272979243852	87.0	0.14246022337906633	87.0
METRN	47	11	1.219977487325668	0.0098779047265789	0.3040618167380572		11.0	0.133757054066906	0.1335813110987941	0.1491563590292944	0.1506058455742278	0.0144417332869773	0.0	0.090791911384086	True	0.8145272979243852	88.0	0.13991677605186137	88.0
NFIB	96	38	1.3357167625427255	0.0129392586755727	0.3671847803460931		38.0	0.1297468590366125	0.1315300292841837	0.1489797925833885	0.1492545975498816	0.0097741864461124	0.0	0.0891436917604921	True	0.8145272979243852	89.0	0.1374400324553229	89.0
HES6	47	5	1.3628067159652726	0.0125309228227497	0.3636956246632733		5.0	0.1319481310444188	0.1282107108597634	0.1386232387357762	0.1450013197983578	0.0136849167867661	0.0	0.0874350621017116	True	0.8145272979243852	90.0	0.13461817412096175	90.0
PTN	49	25	2.4223179149627687	0.0651049004959462	0.4414874366785223		25.0	0.1168641515939864	0.1075555116530112	0.1454160626849562	0.1537758187369882	0.0279087446971425	0.0	0.0830996763088336	True	0.8145272979243852	91.0	0.1282849160303743	91.0
EBF3	83	21	1.3051891922950754	0.0121432572312406	0.3830883364280507		21.0	0.1074986570602199	0.1134068624336249	0.1514385248639383	0.1650764119404571	0.0209194713638857	0.0	0.0808590940400725	True	0.8145272979243852	92.0	0.12507460418170724	92.0
NEFL	48	26	1.9754095494747148	0.0466636793112556	0.4074729940997745		26.0	0.0964225969998881	0.0982271167998465	0.1518404847172352	0.1713578154348125	0.0266444378052087	0.0	0.076529159979264	True	0.8145272979243852	93.0	0.11858975208682696	93.0
VSTM2L	80	8	1.3940481579303723	0.0136060560444599	0.302857329605847		8.0	0.0865743074173542	0.1125930456830345	0.1610175881674902	0.2918516265325429	0.0680021914797084	0.0	0.0748841200088142	True	0.8145272979243852	94.0	0.1163516197174086	94.0
CLU	31	13	1.1655331945419307	0.0102277565249634	0.3514785066746578		13.0	0.1008237589879127	0.1065633620580533	0.1278938898686814	0.1288021923929929	0.0147011464412543	0.0	0.0723029760623354	True	0.8145272979243852	95.0	0.11165181134022018	95.0
