gene	enhancer	enhancer_index	global_concordance	max_regional_concordance	best_domain	local_advantage	regional_specificity	regional_evidence_score	predicted_class	screen_only	initial_spearman_rho	link_pvalue
otx2a	1-50907455-50907955	7	0.18989391302538905	0.22901621985834325	3	0.0391223068329542	0.05618813674512746	0.0005034256361274264	unsupported	True	0.1703151473942637	3.512531920015397e-146
otx2a	1-50945115-50945615	8	0.17511364478413913	0.15667754079101218	3	-0.01843610399312695	0.16485365359958665	0.0	unsupported	True	0.1701540414948199	6.632720500100759e-146
otx2a	1-50949955-50950455	9	0.17219873028281904	0.15382124096934918	3	-0.018377489313469858	0.0682664676389866	0.0	unsupported	True	0.165473420197045	5.273420855730463e-138
otx2a	1-50947825-50948325	10	0.1926024439331366	0.20398994381925517	4	0.011387499886118563	0.14490117234029554	0.0003365960717162545	unsupported	True	0.1646937519013325	1.0364108797314987e-136
otx2a	1-50905030-50905530	11	0.11022033108884721	0.08034490498980705	5	-0.02987542609904016	0.026634588331466993	0.0	unsupported	True	0.1640313508091772	1.2864073425180726e-135
otx2a	1-50935195-50935695	12	0.24036325266746963	0.3428221316585691	0	0.10245887899109948	0.20520467548563567	0.007207849378625095	regional_candidate	True	0.1632516792005788	2.460010750874533e-134
otx2a	1-50894564-50895064	13	0.21067539212825123	0.28594410377301294	5	0.0752687116447617	0.2330137162684308	0.005015071330731168	regional_candidate	True	0.1632120606328604	2.8568486962313903e-134
otx2a	1-50955912-50956412	14	0.1837053804735693	0.21444378495704888	4	0.030738404483479587	0.11782655874010141	0.0007766725907347094	unsupported	True	0.161325241111497	3.3879615434990725e-131
otx2a	1-50943126-50943626	15	0.2517864579892631	0.34025403343463534	0	0.08846757544537226	0.26084040688017324	0.007851674302259063	regional_candidate	True	0.1602579243886878	1.7873757240205926e-129
otx2a	1-50917324-50917824	16	0.14194250727522245	0.13466296153583032	4	-0.007279545739392129	0.0850753581484485	0.0	unsupported	True	0.140091920592907	3.570733079335301e-99
otx2a	1-50886680-50887180	17	0.13013626862640582	0.1496850580629374	5	0.019548789436531572	0.11066955380922791	0.00032383700770592124	unsupported	True	0.1372767558427	2.797171193760769e-95
