gene	n_thresholds	best_rank	median_rank	mean_mixed_score	max_domains	max_core	max_regional	min_core	min_regional	consensus_rank
tgif1	1	76	76.0	0.03008496534903236	1	1	2	1	2	167
chst11	1	77	77.0	0.02925867469314326	1	1	2	1	2	168
foxb1b	1	80	80.0	0.026081773512570086	1	1	2	1	2	169
kirrel3l	1	85	85.0	0.022344169632423104	1	1	2	1	2	170
cdx4	1	86	86.0	0.04415950999659908	1	10	1	10	1	171
alcamb	1	91	91.0	0.02767244288147995	1	1	2	1	2	172
lamb1a	1	93	93.0	0.01607767612903098	1	2	1	2	1	173
nr2f2	1	97	97.0	0.016411246898314417	1	8	1	8	1	174
rx3	1	98	98.0	0.016182116595604944	1	6	1	6	1	175
sox11b	1	100	100.0	0.014669470138702685	1	2	1	2	1	176
fgf8a	1	102	102.0	0.011739670205542264	1	2	1	2	1	177
szl	1	105	105.0	0.010377480965895592	1	2	1	2	1	178
sdc4	1	108	108.0	0.011813744809084932	1	1	1	1	1	179
wnt11f2	1	111	111.0	0.011154577476112159	1	3	1	3	1	180
vent	1	111	111.0	0.008934143103085542	1	1	1	1	1	181
hivep2a	1	113	113.0	0.01175366409378611	1	1	1	1	1	182
gata3	1	114	114.0	0.008384835424948398	1	8	1	8	1	183
grhl1	1	115	115.0	0.008290877676258069	1	6	1	6	1	184
msgn1	1	116	116.0	0.008137777713132741	1	5	1	5	1	185
pcdh8	1	117	117.0	0.007669582514947792	1	5	1	5	1	186
kazald2	1	121	121.0	0.007230083010370881	1	2	1	2	1	187
cxcr4a	1	131	131.0	0.0059018038309237575	1	1	1	1	1	188
admp	1	133	133.0	0.007276252630716647	1	1	1	1	1	189
dkc1	1	136	136.0	0.0060106449928904685	1	1	1	1	1	190
eif3ea	1	138	138.0	0.005752030762790129	1	2	1	2	1	191
efnb2a	1	145	145.0	0.004604182278704971	1	1	1	1	1	192
