gene	n_enhancers	n_core	n_regional_candidates	n_unsupported	n_supported_domains	regional_evidence_topk_sum	domain_diversity	complexity_score	core_threshold	mixed_complexity_score	threshold_rank
pitx2	20	3	7	10	1	0.10785144284995951	0.0	0.2242707705923145	0.35	0.3609498808420817	26
foxc1a	20	5	4	11	4	0.0548275056069742	1.0	0.17648293233611498	0.35	0.34341992916788827	27
irx1b	20	2	6	12	3	0.0641496605085239	0.8649735207179272	0.23280366630441915	0.35	0.32273440984585294	28
sox5	20	6	5	9	1	0.0823541419507046	0.0	0.1475588136703264	0.35	0.30683992698707113	29
fzd8a	20	2	8	10	2	0.0942183782542834	0.0	0.2070189363370719	0.35	0.2869891840891204	30
zic2b	20	3	5	12	3	0.0464008185524516	0.9602297178607612	0.1629717463393052	0.35	0.26229290721407106	31
ntd5	20	3	5	12	4	0.0450126007078179	0.9609640474436812	0.15815518908035678	0.35	0.2545409573541098	32
cnn3a	20	1	4	15	3	0.0733527042097448	0.946394630357186	0.22978477734753594	0.35	0.25244438014286846	33
csrp1a	20	2	3	15	2	0.0678672535921637	0.9182958340544894	0.18048092790884862	0.35	0.2501996926497223	34
emx3	20	2	4	14	1	0.1093416674713379	0.0	0.17597862503713363	0.35	0.24395817556660995	35
shha	20	1	5	14	2	0.0715101352301685	0.7219280948873623	0.2206288593408731	0.35	0.24238557610671105	36
fn1a	20	1	4	15	3	0.0654321870381797	0.946394630357186	0.20497295487482559	0.35	0.22518580707009733	37
jcada	20	2	4	14	2	0.054824850817199004	0.8112781244591328	0.15982209825737825	0.35	0.22156047359655257	38
tuba8l2	20	4	6	10	2	0.0628265329815795	0.0	0.12225478815881392	0.35	0.21905117434202473	39
fezf2	20	7	3	10	2	0.0370270828908382	0.9182958340544894	0.0984669619615777	0.35	0.21635402887760916	40
lhfpl6	20	3	5	12	2	0.037966028102521504	0.9709505944546688	0.13407586614170372	0.35	0.2157867821108975	41
lft1	20	1	4	15	2	0.0589144726493915	1.0	0.1896383717459851	0.35	0.2083390456031505	42
klf2b	20	2	5	13	2	0.042311780752578194	0.9709505944546688	0.1494227586062135	0.35	0.2071439276787724	43
unc5b	20	1	4	15	1	0.1151848044376249	0.0	0.1853827911982211	0.35	0.20366381251796	44
spon1b	20	1	3	16	2	0.0644719996358308	0.9182958340544894	0.17145185199828453	0.35	0.1883591115202214	45
foxa	20	1	5	14	2	0.04627969537470179	0.9709505944546688	0.16343532764032376	0.35	0.17955205934815846	46
tfap2c	20	3	5	12	2	0.035817011806276895	0.7219280948873623	0.11050554490468466	0.35	0.1778518135037884	47
nrarpa	20	4	3	13	2	0.0369508673405296	0.9182958340544894	0.09826428021872363	0.35	0.1760659545687771	48
foxa2	20	2	4	14	2	0.0392588596340062	1.0	0.1263693941877966	0.35	0.1751851785806791	49
nop58	20	1	3	16	1	0.11317374425394999	0.0	0.15689212348607548	0.35	0.17236361485703708	50
