gene	n_thresholds	best_rank	median_rank	mean_mixed_score	max_domains	max_core	max_regional	min_core	min_regional	consensus_rank	rna_mean	rna_detected_fraction	passes_expression_filter	passes_stability_filter	priority_score	priority_eligible	priority_rank
hdlbpa	4	11	36.5	0.12058889489923345	2	3	4	1	3	37	24.854330878448575	0.996662958843159	True	True	0.18088334234885017	True	35
lhfpl6	4	24	37.5	0.11936102163667284	2	12	5	3	1	38	1.3706280558605235	0.5482091212458287	True	True	0.17904153245500926	True	36
lft1	4	28	36.0	0.11592760314559666	2	3	3	1	1	35	1.0136617014336107	0.4711902113459399	True	True	0.17389140471839498	True	37
msx3	4	17	34.0	0.11437515209838131	2	3	3	1	2	32	1.7412646940292402	0.5335261401557286	True	True	0.17156272814757195	True	38
unc5b	4	14	30.0	0.17005507719607374	1	7	4	1	1	29	8.986640606559863	0.8801779755283649	True	True	0.17005507719607374	True	39
emx2	4	19	31.5	0.1615952409002805	1	6	6	2	2	30	0.7496180167630302	0.41481646273637374	True	True	0.1615952409002805	True	40
foxa	4	32	41.0	0.10208270551245098	2	5	5	1	1	42	0.6016828018531327	0.3255172413793103	True	True	0.15312405826867648	True	41
csrp1a	4	34	41.0	0.09307521230279149	2	4	2	2	1	43	0.7474736503445363	0.35581757508342604	True	True	0.13961281845418724	True	42
msx1b	4	35	40.5	0.09192894479435364	2	7	4	2	1	41	7.585644467406745	0.6899221357063404	True	True	0.13789341719153045	True	43
fzd8a	3	25	34.0	0.17402996224742182	1	7	4	2	3	50	5.143445098970758	0.8030700778642936	True	True	0.13052247168556635	True	44
spon1b	4	28	39.0	0.08435184891697789	2	3	3	1	2	39	0.8100636076871807	0.3756173526140156	True	True	0.12652777337546683	True	45
lmo2	4	27	42.0	0.08319863496692201	2	4	3	2	2	44	2.605728380452692	0.6065406006674082	True	True	0.12479795245038301	True	46
anp32e	4	22	42.0	0.06959484567141357	1	1	2	1	2	45	27.327013627342613	0.9867408231368187	True	True	0.06959484567141357	True	47
nop58	4	20	44.5	0.05886157480643237	1	2	1	1	1	46	44.75369395956327	0.994972191323693	True	True	0.05886157480643237	True	48
fscn1a	4	46	49.0	0.024052717610796047	2	6	2	1	1	47	15.604739459111066	0.9222691879866518	True	True	0.03607907641619407	True	49
ntd5	4	47	49.5	0.007475679160686849	1	3	1	3	1	48	2.937807163003049	0.5089210233592881	True	True	0.007475679160686849	True	50
